"AP1","AP2","AP3","AP4","AP5","Coordenada X","Coordenada Y"
-74,-59,-54,-84,-69,18.33,13.63
-70,-54,-56,-79,-66,19.47,13.63
-74,-57,-63,-80,-67,20.36,13.58
-76,-59,-65,-76,-72,20.41,12.64
-75,-63,-59,-83,-74,19.43,12.55
-75,-54,-55,-80,-75,18.41,12.60
-71,-59,-51,-78,-71,17.39,12.60
-77,-61,-52,-79,-69,16.50,12.55
-74,-56,-47,-77,-66,15.35,12.55
-70,-63,-55,-78,-74,14.38,12.60
-77,-62,-54,-72,-69,13.44,12.55
-65,-56,-65,-73,-68,12.38,12.50
-66,-65,-60,-73,-65,11.45,12.55
-64,-69,-60,-71,-64,10.39,12.50
-64,-60,-58,-71,-63,9.41,12.60
-54,-61,-66,-73,-55,8.43,12.60
-56,-57,-59,-66,-52,7.37,12.64
-63,-62,-72,-75,-57,6.44,12.64
-59,-61,-70,-75,-59,5.42,12.69
-55,-65,-75,-78,-63,4.44,12.69
-54,-59,-73,-79,-60,3.47,12.60
-47,-59,-73,-77,-64,2.40,12.60
-52,-58,-70,-76,-67,1.43,12.55
-57,-57,-67,-66,-54,6.52,11.43
-52,-54,-66,-61,-54,7.41,11.57
-67,-60,-69,-69,-56,8.39,11.48
-69,-69,-73,-70,-61,9.37,11.57
-67,-64,-60,-66,-65,10.39,11.62
-64,-55,-58,-68,-63,11.36,11.48
-60,-51,-51,-69,-64,12.30,11.52
-63,-56,-53,-66,-66,13.40,11.57
-70,-58,-47,-73,-72,14.46,11.52
-65,-56,-50,-76,-73,15.44,11.48
-74,-51,-48,-75,-73,16.41,11.43
-73,-52,-45,-71,-64,17.43,11.52
-79,-65,-54,-85,-69,18.41,11.52
-76,-51,-52,-77,-67,19.39,11.43
-69,-49,-59,-77,-68,20.45,11.52
-76,-56,-56,-77,-68,20.36,10.45
-77,-53,-57,-80,-66,19.43,10.40
-74,-55,-53,-79,-72,18.45,10.50
-73,-57,-41,-75,-69,17.35,10.50
-77,-60,-44,-74,-69,16.41,10.50
-73,-55,-49,-71,-68,15.40,10.45
-72,-62,-50,-67,-68,14.38,10.50
-69,-61,-65,-69,-70,13.36,10.45
-69,-53,-55,-71,-60,12.34,10.54
-70,-60,-63,-68,-62,11.36,10.50
-68,-61,-70,-75,-64,10.47,10.59
-70,-64,-66,-63,-62,9.37,10.54
-63,-68,-67,-64,-58,8.43,10.50
-67,-59,-70,-63,-58,7.37,10.50
-66,-64,-72,-69,-69,6.48,10.50
-79,-63,-41,-64,-73,14.45,9.40
-78,-66,-39,-70,-73,15.38,9.45
-74,-58,-33,-63,-69,16.32,9.54
-78,-67,-34,-69,-66,17.34,9.54
-76,-65,-43,-55,-70,14.45,8.52
-72,-64,-40,-58,-76,15.42,8.56
-77,-65,-34,-65,-68,16.44,8.38
-77,-63,-39,-71,-70,17.34,8.42
-80,-65,-43,-56,-69,14.45,7.44
-78,-64,-45,-63,-70,15.38,7.49
-84,-75,-45,-69,-73,16.40,7.44
-75,-68,-42,-72,-81,17.34,7.49
-77,-66,-45,-67,-76,14.49,6.51
-79,-66,-47,-62,-77,15.38,6.56
-82,-75,-50,-63,-74,16.40,6.56
-81,-67,-39,-72,-80,17.38,6.60
-78,-63,-48,-63,-75,14.36,5.58
-80,-68,-46,-64,-80,15.42,5.58
-76,-66,-46,-70,-77,16.40,5.62
-77,-60,-41,-67,-72,17.38,5.58
-85,-70,-55,-62,-78,14.40,4.55
-80,-66,-45,-65,-79,15.42,4.51
-85,-73,-48,-62,-78,16.40,4.46
-83,-73,-51,-69,-81,17.34,4.55
-86,-69,-54,-60,-80,14.45,3.57
-83,-71,-51,-63,-81,15.47,3.53
-82,-71,-46,-64,-82,16.44,3.57
-88,-75,-44,-64,-81,17.34,3.67
-85,-69,-56,-55,-77,14.36,2.64
-82,-72,-46,-63,-81,15.42,2.59
-79,-74,-46,-67,-79,16.40,2.55
-86,-78,-52,-71,-79,17.34,2.64
-88,-69,-53,-62,-84,14.36,1.62
-86,-74,-49,-74,-84,15.38,1.62
-90,-76,-53,-66,-82,16.32,1.66
-88,-76,-51,-59,-82,17.38,1.76
-79,-71,-68,-69,-64,10.45,9.45
-75,-72,-49,-55,-62,11.43,9.40
-82,-75,-55,-60,-64,12.40,9.45
-73,-68,-50,-57,-69,13.34,9.49
-78,-73,-58,-61,-68,10.49,8.47
-78,-71,-55,-54,-64,11.38,8.47
-80,-68,-56,-58,-71,12.40,8.56
-78,-75,-56,-63,-67,13.38,8.56
-74,-73,-63,-55,-65,10.49,7.49
-70,-67,-51,-56,-62,11.38,7.49
-73,-75,-47,-58,-60,12.36,7.49
-77,-65,-50,-59,-67,13.38,7.58
-82,-80,-64,-55,-67,10.45,6.60
-74,-72,-57,-58,-67,11.43,6.56
-70,-71,-49,-52,-60,12.36,6.56
-78,-72,-51,-52,-70,13.38,6.56
-81,-78,-62,-46,-69,10.41,5.58
-74,-70,-54,-57,-61,11.43,5.58
-77,-77,-58,-46,-70,12.36,5.62
-80,-71,-55,-55,-62,13.34,5.67
-83,-68,-55,-48,-70,10.36,4.60
-77,-68,-51,-46,-72,11.38,4.60
-72,-75,-56,-48,-67,12.40,4.60
-77,-80,-65,-58,-70,13.42,4.65
-77,-72,-56,-38,-68,10.41,3.62
-84,-78,-66,-50,-72,11.38,3.57
-78,-81,-63,-57,-75,12.40,3.62
-78,-74,-59,-58,-74,13.34,3.67
-81,-77,-63,-53,-71,10.41,2.55
-83,-74,-63,-56,-71,11.43,2.59
-80,-76,-60,-59,-79,12.40,2.64
-84,-79,-63,-60,-68,13.38,2.59
-80,-72,-63,-51,-72,10.45,1.57
-75,-64,-59,-48,-69,11.43,1.57
-75,-75,-56,-56,-77,12.40,1.66
-74,-76,-58,-52,-66,13.38,1.62
